scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,capacity_est,occupied_est,occupancy_pct_est,booking_amount_label,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
,"10455 Reiger Rd, Baton Rouge, LA 70809",,2,,,,,,12.00,60.00,280.00,11,4.18
,"10455 Reiger Rd, Baton Rouge, LA 70809",,2,,,,,,12.00,60.00,280.00,11,4.18
,"10455 Reiger Rd, Baton Rouge, LA 70809",,2,,,,,,12.00,60.00,280.00,11,4.18
,"10455 Reiger Rd, Baton Rouge, LA 70809",,2,,,,,,12.00,60.00,280.00,11,4.18
2026-07-03T18:20:34Z,"10455 Reiger Rd, Baton Rouge, LA 70809",Truck + Trailer,2,,,,,,12.00,60.00,280.00,11,4.18
2026-07-03T18:57:51Z,"10455 Reiger Rd, Baton Rouge, LA 70809",Truck + Trailer,2,,,,,,12.00,60.00,280.00,11,4.18
2026-07-03T20:41:14Z,"10455 Reiger Rd, Baton Rouge, LA 70809",Truck + Trailer,2,,2,0,0.0,10+,12.00,60.00,280.00,11,4.18
2026-07-04T01:43:08Z,"10455 Reiger Rd, Baton Rouge, LA 70809",Truck + Trailer,2,,,,,,12.00,60.00,280.00,11,4.18
2026-07-04T02:48:57Z,"10455 Reiger Rd, Baton Rouge, LA 70809",Truck + Trailer,2,,2,0,0.0,10+,12.00,60.00,280.00,11,4.18
2026-07-04T02:57:29Z,"10455 Reiger Rd, Baton Rouge, LA 70809",Truck + Trailer,2,,2,0,0.0,10+,12.00,60.00,280.00,11,4.18
2026-07-04T03:59:22Z,"10455 Reiger Rd, Baton Rouge, LA 70809",Truck + Trailer,2,,2,0,0.0,10+,12.00,60.00,280.00,11,4.18
2026-07-04T06:38:09Z,"10455 Reiger Rd, Baton Rouge, LA 70809",Truck + Trailer,2,,2,0,0.0,10+,12.00,60.00,280.00,11,4.18
