scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,capacity_est,occupied_est,occupancy_pct_est,booking_amount_label,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
2026-07-03T20:41:14Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
2026-07-04T02:48:57Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
2026-07-04T02:57:29Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
2026-07-04T03:59:22Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
2026-07-04T06:38:09Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
2026-07-04T09:57:00Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
2026-07-04T11:19:56Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
2026-07-04T12:53:05Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
2026-07-04T14:55:58Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
2026-07-04T16:48:20Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
2026-07-04T18:50:31Z,"1700 Scenic Hwy, Baton Rouge, LA 70802",Bobtail / Box Truck,5,,5,0,0.0,,10.00,50.00,150.00,,
