scraped_at_utc,full_address,vehicle_type,total_available,total_spaces_manual,capacity_est,occupied_est,occupancy_pct_est,booking_amount_label,price_daily_usd,price_weekly_usd,price_monthly_usd,reviews_count,review_rating
,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,5,,,,,,20.00,100.00,350.00,16,4.94
,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,5,,,,,,20.00,100.00,350.00,16,4.94
,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,4,,,,,,20.00,100.00,350.00,16,4.94
,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,4,,,,,,20.00,100.00,350.00,16,4.94
2026-07-03T18:20:34Z,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,4,,,,,,20.00,100.00,350.00,16,4.94
2026-07-03T18:57:51Z,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,4,,,,,,20.00,100.00,350.00,16,4.94
2026-07-03T20:41:14Z,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,4,,5,1,20.0,100+,20.00,100.00,350.00,16,4.94
2026-07-04T01:43:08Z,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,4,,,,,,20.00,100.00,350.00,16,4.94
2026-07-04T02:48:57Z,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,4,,5,1,20.0,100+,20.00,100.00,350.00,16,4.94
2026-07-04T02:57:29Z,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,4,,5,1,20.0,100+,20.00,100.00,350.00,16,4.94
2026-07-04T03:59:22Z,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,4,,5,1,20.0,100+,20.00,100.00,350.00,16,4.94
2026-07-04T06:38:09Z,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,5,,5,0,0.0,100+,20.00,100.00,350.00,16,4.94
2026-07-04T09:57:00Z,"2392 E Smiley Ave, Baton Rouge, LA 70806",Truck + Trailer,5,,5,0,0.0,100+,20.00,100.00,350.00,16,4.94
