scraped_at_utc,state_slug,city_slug,listing_id,details_slug,url,status,vehicle_type,total_available,price_hourly_usd,price_daily_usd,price_weekly_usd,price_monthly_usd
2026-07-03T20:41:14Z,louisiana,denham-springs,5506,23286-springhill-dr-70726,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/23286-springhill-dr-70726,1,Truck + Trailer,2,,15.00,70.00,230.00
2026-07-03T20:41:14Z,louisiana,denham-springs,14792,8350-florida-boulevard-70726,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/8350-florida-boulevard-70726,1,Bobtail / Box Truck,5,,15.00,60.00,150.00
2026-07-04T02:48:57Z,louisiana,denham-springs,5506,23286-springhill-dr-70726,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/23286-springhill-dr-70726,1,Truck + Trailer,2,,15.00,70.00,230.00
2026-07-04T02:48:57Z,louisiana,denham-springs,14792,8350-florida-boulevard-70726,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/8350-florida-boulevard-70726,1,Bobtail / Box Truck,5,,15.00,60.00,150.00
2026-07-04T02:57:29Z,louisiana,denham-springs,5506,23286-springhill-dr-70726,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/23286-springhill-dr-70726,1,Truck + Trailer,2,,15.00,70.00,230.00
2026-07-04T02:57:29Z,louisiana,denham-springs,14792,8350-florida-boulevard-70726,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/8350-florida-boulevard-70726,1,Bobtail / Box Truck,5,,15.00,60.00,150.00
2026-07-04T03:59:22Z,louisiana,denham-springs,5506,23286-springhill-dr-70726,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/23286-springhill-dr-70726,1,Truck + Trailer,2,,15.00,70.00,230.00
2026-07-04T03:59:22Z,louisiana,denham-springs,14792,8350-florida-boulevard-70726,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/8350-florida-boulevard-70726,1,Bobtail / Box Truck,5,,15.00,60.00,150.00
2026-07-05T20:09:18Z,louisiana,denham-springs,5506,23286-springhill-dr-70726,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/23286-springhill-dr-70726,1,Truck + Trailer,2,,15.00,70.00,230.00
2026-07-05T20:09:18Z,louisiana,denham-springs,14792,8350-florida-boulevard-70726,https://truckparkingclub.com/truck-parking/louisiana/denham-springs/8350-florida-boulevard-70726,1,Bobtail / Box Truck,5,,15.00,60.00,150.00
